n,m,algorithm,density,order,trial,match_size,opt_size,cr,time_ns,is_valid,seed
8192,16384,greedy,extremely_sparse,random,0,6232,6844,0.9105786090005844,1256596,True,1049059709
8192,16384,ranking,extremely_sparse,random,0,6227,6844,0.9098480420806546,3702816,True,1049059709
8192,16384,hopcroft_karp,extremely_sparse,random,0,6844,6844,1.0,61302648,True,1049059709
8192,16384,greedy,extremely_sparse,random,1,6220,6857,0.9071022312964854,1380759,True,1916087749
8192,16384,ranking,extremely_sparse,random,1,6212,6857,0.9059355403237568,3287603,True,1916087749
8192,16384,hopcroft_karp,extremely_sparse,random,1,6857,6857,1.0,63117231,True,1916087749
8192,16384,greedy,extremely_sparse,random,2,6248,6897,0.9059011164274322,1365699,True,3448440520
8192,16384,ranking,extremely_sparse,random,2,6267,6897,0.9086559373640714,3187987,True,3448440520
8192,16384,hopcroft_karp,extremely_sparse,random,2,6897,6897,1.0,70327786,True,3448440520
8192,16384,greedy,extremely_sparse,random,3,6238,6834,0.9127889961954931,1362632,True,4053031183
8192,16384,ranking,extremely_sparse,random,3,6219,6834,0.9100087796312555,3501401,True,4053031183
8192,16384,hopcroft_karp,extremely_sparse,random,3,6834,6834,1.0,63720772,True,4053031183
8192,16384,greedy,extremely_sparse,random,4,6258,6856,0.912777129521587,1375379,True,1442646622
8192,16384,ranking,extremely_sparse,random,4,6240,6856,0.9101516919486581,2821377,True,1442646622
8192,16384,hopcroft_karp,extremely_sparse,random,4,6856,6856,1.0,71972333,True,1442646622
8192,16384,greedy,extremely_sparse,random,5,6260,6862,0.9122704750801516,1433083,True,1778702844
8192,16384,ranking,extremely_sparse,random,5,6222,6862,0.906732730982221,3341518,True,1778702844
8192,16384,hopcroft_karp,extremely_sparse,random,5,6862,6862,1.0,66844581,True,1778702844
8192,16384,greedy,extremely_sparse,random,6,6223,6862,0.9068784610900612,1435882,True,3493224132
8192,16384,ranking,extremely_sparse,random,6,6244,6862,0.9099387933547071,3057983,True,3493224132
8192,16384,hopcroft_karp,extremely_sparse,random,6,6862,6862,1.0,79180520,True,3493224132
8192,16384,greedy,extremely_sparse,random,7,6228,6858,0.9081364829396326,1682999,True,2769694349
8192,16384,ranking,extremely_sparse,random,7,6239,6858,0.9097404491105279,2829861,True,2769694349
8192,16384,hopcroft_karp,extremely_sparse,random,7,6858,6858,1.0,75175873,True,2769694349
8192,16384,greedy,extremely_sparse,random,8,6182,6824,0.9059202813599062,1403017,True,2411162474
8192,16384,ranking,extremely_sparse,random,8,6215,6824,0.9107561547479485,3747672,True,2411162474
8192,16384,hopcroft_karp,extremely_sparse,random,8,6824,6824,1.0,72537350,True,2411162474
8192,16384,greedy,extremely_sparse,random,9,6264,6882,0.9102005231037489,1368128,True,3533551147
8192,16384,ranking,extremely_sparse,random,9,6287,6882,0.9135425748328974,3945327,True,3533551147
8192,16384,hopcroft_karp,extremely_sparse,random,9,6882,6882,1.0,55763943,True,3533551147
8192,16384,greedy,extremely_sparse,random,10,6202,6830,0.9080527086383602,1378795,True,1914212718
8192,16384,ranking,extremely_sparse,random,10,6216,6830,0.9101024890190337,4253688,True,1914212718
8192,16384,hopcroft_karp,extremely_sparse,random,10,6830,6830,1.0,73565906,True,1914212718
8192,16384,greedy,extremely_sparse,random,11,6241,6846,0.9116272275781478,1384971,True,670294256
8192,16384,ranking,extremely_sparse,random,11,6229,6846,0.9098743791995326,3357416,True,670294256
8192,16384,hopcroft_karp,extremely_sparse,random,11,6846,6846,1.0,80809354,True,670294256
8192,16384,greedy,extremely_sparse,random,12,6279,6886,0.911850130699971,1631600,True,729256901
8192,16384,ranking,extremely_sparse,random,12,6224,6886,0.9038629102526866,6000700,True,729256901
8192,16384,hopcroft_karp,extremely_sparse,random,12,6886,6886,1.0,72430012,True,729256901
8192,16384,greedy,extremely_sparse,random,13,6231,6862,0.9080443019527834,1474008,True,3359252868
8192,16384,ranking,extremely_sparse,random,13,6230,6862,0.9078985718449432,2973876,True,3359252868
8192,16384,hopcroft_karp,extremely_sparse,random,13,6862,6862,1.0,70524019,True,3359252868
8192,16384,greedy,extremely_sparse,random,14,6247,6900,0.9053623188405797,1448721,True,1088763334
8192,16384,ranking,extremely_sparse,random,14,6284,6900,0.9107246376811594,3542279,True,1088763334
8192,16384,hopcroft_karp,extremely_sparse,random,14,6900,6900,1.0,70048747,True,1088763334
8192,16384,greedy,extremely_sparse,random,15,6243,6869,0.9088659193477945,1430547,True,3655038248
8192,16384,ranking,extremely_sparse,random,15,6232,6869,0.9072645217644489,3655206,True,3655038248
8192,16384,hopcroft_karp,extremely_sparse,random,15,6869,6869,1.0,71095329,True,3655038248
8192,16384,greedy,extremely_sparse,random,16,6235,6828,0.9131517281780902,1447498,True,4009885147
8192,16384,ranking,extremely_sparse,random,16,6212,6828,0.9097832454598711,3424696,True,4009885147
8192,16384,hopcroft_karp,extremely_sparse,random,16,6828,6828,1.0,71699915,True,4009885147
8192,16384,greedy,extremely_sparse,random,17,6241,6852,0.9108289550496206,1417551,True,592848046
8192,16384,ranking,extremely_sparse,random,17,6232,6852,0.9095154699357851,4226783,True,592848046
8192,16384,hopcroft_karp,extremely_sparse,random,17,6852,6852,1.0,83043035,True,592848046
8192,16384,greedy,extremely_sparse,random,18,6298,6948,0.9064478986758779,1387461,True,2468044317
8192,16384,ranking,extremely_sparse,random,18,6325,6948,0.9103339090385723,4105757,True,2468044317
8192,16384,hopcroft_karp,extremely_sparse,random,18,6948,6948,1.0,73193246,True,2468044317
8192,16384,greedy,extremely_sparse,random,19,6224,6861,0.9071563911966186,1384827,True,2229494670
8192,16384,ranking,extremely_sparse,random,19,6262,6861,0.9126949424282175,3658914,True,2229494670
8192,16384,hopcroft_karp,extremely_sparse,random,19,6861,6861,1.0,65643437,True,2229494670
8192,16384,greedy,extremely_sparse,random,20,6285,6919,0.9083682613094378,1395122,True,3809691260
8192,16384,ranking,extremely_sparse,random,20,6273,6919,0.9066339066339066,3393370,True,3809691260
8192,16384,hopcroft_karp,extremely_sparse,random,20,6919,6919,1.0,63911522,True,3809691260
8192,16384,greedy,extremely_sparse,random,21,6241,6876,0.9076497963932519,1383735,True,3289741141
8192,16384,ranking,extremely_sparse,random,21,6266,6876,0.9112856311809191,4144261,True,3289741141
8192,16384,hopcroft_karp,extremely_sparse,random,21,6876,6876,1.0,65300122,True,3289741141
8192,16384,greedy,extremely_sparse,random,22,6187,6811,0.9083834972838056,1393968,True,1077169144
8192,16384,ranking,extremely_sparse,random,22,6196,6811,0.9097048891499045,4052127,True,1077169144
8192,16384,hopcroft_karp,extremely_sparse,random,22,6811,6811,1.0,64558547,True,1077169144
8192,16384,greedy,extremely_sparse,random,23,6230,6871,0.9067093581720274,1387822,True,1344759290
8192,16384,ranking,extremely_sparse,random,23,6261,6871,0.9112210740794644,3385112,True,1344759290
8192,16384,hopcroft_karp,extremely_sparse,random,23,6871,6871,1.0,72937427,True,1344759290
8192,16384,greedy,extremely_sparse,random,24,6234,6865,0.9080844865258558,1491883,True,3944047828
8192,16384,ranking,extremely_sparse,random,24,6246,6865,0.9098324836125273,4079166,True,3944047828
8192,16384,hopcroft_karp,extremely_sparse,random,24,6865,6865,1.0,64979116,True,3944047828
