n,m,algorithm,density,order,trial,match_size,opt_size,cr,time_ns,is_valid,seed
1024,6144,greedy,sparse,random,0,921,1019,0.9038272816486752,175150,True,3779169075
1024,6144,ranking,sparse,random,0,921,1019,0.9038272816486752,439563,True,3779169075
1024,6144,hopcroft_karp,sparse,random,0,1019,1019,1.0,12661391,True,3779169075
1024,6144,greedy,sparse,random,1,919,1018,0.9027504911591355,175427,True,818930461
1024,6144,ranking,sparse,random,1,923,1018,0.906679764243615,440018,True,818930461
1024,6144,hopcroft_karp,sparse,random,1,1018,1018,1.0,10173767,True,818930461
1024,6144,greedy,sparse,random,2,911,1021,0.8922624877571009,173256,True,2273674357
1024,6144,ranking,sparse,random,2,923,1021,0.9040156709108716,438419,True,2273674357
1024,6144,hopcroft_karp,sparse,random,2,1021,1021,1.0,14932792,True,2273674357
1024,6144,greedy,sparse,random,3,921,1022,0.901174168297456,172114,True,1368773433
1024,6144,ranking,sparse,random,3,922,1022,0.9021526418786693,452577,True,1368773433
1024,6144,hopcroft_karp,sparse,random,3,1022,1022,1.0,10823878,True,1368773433
1024,6144,greedy,sparse,random,4,915,1020,0.8970588235294118,181755,True,943518208
1024,6144,ranking,sparse,random,4,923,1020,0.9049019607843137,450415,True,943518208
1024,6144,hopcroft_karp,sparse,random,4,1020,1020,1.0,8443376,True,943518208
2048,14336,greedy,sparse,random,0,1866,2046,0.9120234604105572,361439,True,1298884939
2048,14336,ranking,sparse,random,0,1871,2046,0.9144672531769306,1064764,True,1298884939
2048,14336,hopcroft_karp,sparse,random,0,2046,2046,1.0,31419445,True,1298884939
2048,14336,greedy,sparse,random,1,1874,2046,0.9159335288367546,374348,True,3974197056
2048,14336,ranking,sparse,random,1,1843,2046,0.9007820136852395,1058237,True,3974197056
2048,14336,hopcroft_karp,sparse,random,1,2046,2046,1.0,29657645,True,3974197056
2048,14336,greedy,sparse,random,2,1875,2047,0.9159745969711773,378603,True,853138248
2048,14336,ranking,sparse,random,2,1863,2047,0.9101123595505618,1061901,True,853138248
2048,14336,hopcroft_karp,sparse,random,2,2047,2047,1.0,46289001,True,853138248
2048,14336,greedy,sparse,random,3,1870,2048,0.9130859375,544300,True,306534166
2048,14336,ranking,sparse,random,3,1871,2048,0.91357421875,1200174,True,306534166
2048,14336,hopcroft_karp,sparse,random,3,2048,2048,1.0,20347090,True,306534166
2048,14336,greedy,sparse,random,4,1876,2044,0.9178082191780822,391811,True,3402689143
2048,14336,ranking,sparse,random,4,1865,2044,0.912426614481409,1123349,True,3402689143
2048,14336,hopcroft_karp,sparse,random,4,2044,2044,1.0,25899473,True,3402689143
4096,32768,greedy,sparse,random,0,3771,4096,0.920654296875,847621,True,2054837555
4096,32768,ranking,sparse,random,0,3771,4096,0.920654296875,2405019,True,2054837555
4096,32768,hopcroft_karp,sparse,random,0,4096,4096,1.0,55072984,True,2054837555
4096,32768,greedy,sparse,random,1,3776,4093,0.9225506963107745,852276,True,2806461830
4096,32768,ranking,sparse,random,1,3775,4093,0.922306376740777,2439207,True,2806461830
4096,32768,hopcroft_karp,sparse,random,1,4093,4093,1.0,55884084,True,2806461830
4096,32768,greedy,sparse,random,2,3772,4094,0.9213483146067416,850763,True,3557478279
4096,32768,ranking,sparse,random,2,3751,4094,0.916218856863703,2623184,True,3557478279
4096,32768,hopcroft_karp,sparse,random,2,4094,4094,1.0,67783077,True,3557478279
4096,32768,greedy,sparse,random,3,3784,4095,0.9240537240537241,869205,True,788118704
4096,32768,ranking,sparse,random,3,3772,4095,0.9211233211233211,2461554,True,788118704
4096,32768,hopcroft_karp,sparse,random,3,4095,4095,1.0,52514000,True,788118704
4096,32768,greedy,sparse,random,4,3792,4096,0.92578125,863531,True,2560736263
4096,32768,ranking,sparse,random,4,3778,4096,0.92236328125,2463698,True,2560736263
4096,32768,hopcroft_karp,sparse,random,4,4096,4096,1.0,56691968,True,2560736263
8192,73728,greedy,sparse,random,0,7616,8192,0.9296875,1771941,True,776101646
8192,73728,ranking,sparse,random,0,7631,8192,0.9315185546875,5458879,True,776101646
8192,73728,hopcroft_karp,sparse,random,0,8192,8192,1.0,127868448,True,776101646
8192,73728,greedy,sparse,random,1,7632,8192,0.931640625,1829499,True,1878765859
8192,73728,ranking,sparse,random,1,7613,8192,0.9293212890625,5540875,True,1878765859
8192,73728,hopcroft_karp,sparse,random,1,8192,8192,1.0,144043849,True,1878765859
8192,73728,greedy,sparse,random,2,7614,8192,0.929443359375,1780239,True,4214020147
8192,73728,ranking,sparse,random,2,7593,8192,0.9268798828125,5636266,True,4214020147
8192,73728,hopcroft_karp,sparse,random,2,8192,8192,1.0,97400922,True,4214020147
8192,73728,greedy,sparse,random,3,7634,8190,0.9321123321123321,1771763,True,3240357507
8192,73728,ranking,sparse,random,3,7631,8190,0.9317460317460318,5706342,True,3240357507
8192,73728,hopcroft_karp,sparse,random,3,8190,8190,1.0,144338689,True,3240357507
8192,73728,greedy,sparse,random,4,7607,8192,0.9285888671875,1842691,True,2501766107
8192,73728,ranking,sparse,random,4,7628,8192,0.93115234375,5564812,True,2501766107
8192,73728,hopcroft_karp,sparse,random,4,8192,8192,1.0,114637167,True,2501766107
16384,147456,greedy,sparse,random,0,15245,16382,0.9305945549993896,3928119,True,4045408971
16384,147456,ranking,sparse,random,0,15293,16382,0.9335246001709193,11946799,True,4045408971
16384,147456,hopcroft_karp,sparse,random,0,16382,16382,1.0,295803402,True,4045408971
16384,147456,greedy,sparse,random,1,15236,16381,0.93010194737806,4199023,True,2332439395
16384,147456,ranking,sparse,random,1,15234,16381,0.9299798547097247,12124245,True,2332439395
16384,147456,hopcroft_karp,sparse,random,1,16381,16381,1.0,238601540,True,2332439395
16384,147456,greedy,sparse,random,2,15233,16383,0.929805285967161,4121071,True,3258995749
16384,147456,ranking,sparse,random,2,15229,16383,0.9295611304400904,12490082,True,3258995749
16384,147456,hopcroft_karp,sparse,random,2,16383,16383,1.0,294258190,True,3258995749
16384,147456,greedy,sparse,random,3,15230,16383,0.929622169321858,4229468,True,4064109940
16384,147456,ranking,sparse,random,3,15247,16383,0.9306598303119087,12450324,True,4064109940
16384,147456,hopcroft_karp,sparse,random,3,16383,16383,1.0,293661445,True,4064109940
16384,147456,greedy,sparse,random,4,15227,16383,0.9294390526765549,4254765,True,3475203649
16384,147456,ranking,sparse,random,4,15231,16383,0.9296832082036257,12333379,True,3475203649
